seed,tick,n_active,n_changed,to_relay,from_relay,from_loiter,W_eq,W_best,welfare_gap_per_robot,efficiency,plateau_gain
23,2000,4,0,0,0,0,6.812,6.812,0.0,1.0,0.0
24,100,12,7,4,2,1,63.717,269.23,3.0001,-2.0001,0.0
24,200,12,9,4,3,0,192.274,206.034,0.066,0.934,0.0
24,300,12,5,3,0,1,146.487,157.248,0.0683,0.9317,0.0
24,450,11,5,3,1,0,-2.499,2.703,0.5585,0.4415,0.0
24,600,10,4,2,1,1,-0.891,0.459,0.1726,0.8274,0.0
24,800,6,0,0,0,0,0.666,0.666,0.0,1.0,0.0
24,1200,6,3,0,1,0,15.647,19.563,0.2478,0.7522,0.0
24,1600,3,2,2,0,0,3.058,8.38,1.7306,-0.7306,0.0
24,2000,3,3,0,2,0,4.016,13.769,1.7367,-0.7367,0.0
25,100,12,8,1,6,0,144.835,154.859,0.0618,0.9382,0.0
25,200,12,8,2,2,0,98.041,104.063,0.0566,0.9434,0.0
25,300,11,2,1,0,0,105.148,108.977,0.0354,0.9646,0.0
25,450,11,4,2,0,1,54.104,63.629,0.1569,0.8431,0.0
25,600,11,8,5,0,0,-16.9,63.119,3.9798,-2.9798,0.0
25,800,11,8,5,3,1,38.252,57.528,0.3796,0.6204,0.0
25,1200,7,5,5,0,0,-0.467,65.156,7.4293,-6.4293,0.0
25,1600,7,5,5,0,0,-7.224,15.059,1.6549,-0.6549,0.0
25,2000,7,4,3,0,0,-7.712,15.991,1.8264,-0.8264,0.0
26,100,12,7,3,2,1,1.523,67.206,5.1753,-4.1753,0.0
26,200,12,9,4,1,1,96.35,193.222,0.8764,0.1236,0.0
26,300,12,9,3,1,1,149.011,259.256,0.6956,0.3044,1e-05
26,450,12,5,2,1,0,49.688,149.636,1.6583,-0.6583,0.0
26,600,10,6,1,1,0,50.436,57.274,0.1186,0.8814,0.0
26,800,7,4,2,0,0,10.025,12.619,0.2588,0.7412,0.0
26,1200,4,1,0,1,0,9.229,10.025,0.0734,0.9266,0.0
26,1600,4,0,0,0,0,11.507,11.507,0.0,1.0,0.0
26,2000,4,2,0,1,0,5.844,7.57,0.2457,0.7543,0.0
27,100,12,10,4,5,0,0.508,23.888,1.6237,-0.6237,0.0
27,200,12,7,1,2,0,47.123,57.287,0.1711,0.8289,0.0
27,300,12,9,5,1,0,-5.921,55.152,4.6339,-3.6339,0.0
27,450,11,4,3,1,0,46.953,65.119,0.3193,0.6807,0.0
27,600,10,6,4,2,0,1.173,10.507,1.0953,-0.0953,0.0
27,800,8,4,2,1,0,2.741,10.071,1.0365,-0.0365,0.0
27,1200,8,4,4,0,1,10.363,17.993,0.6304,0.3696,0.0
27,1600,3,0,0,0,0,14.178,14.178,0.0,1.0,0.0
27,2000,3,0,0,0,0,23.653,23.653,0.0,1.0,0.0
28,100,12,8,3,4,0,202.967,252.919,0.2358,0.7642,0.0
28,200,12,8,4,3,1,253.592,262.94,0.0358,0.9642,0.0
28,300,12,7,3,2,0,-0.955,56.357,5.0836,-4.0836,0.0
28,450,12,8,3,2,1,-7.507,7.135,1.1678,-0.1678,0.0
28,600,10,5,3,1,0,44.175,52.85,0.1588,0.8412,0.0
28,800,9,5,1,1,0,48.026,98.878,0.9197,0.0803,0.0
28,1200,6,2,1,1,0,56.79,99.179,0.7238,0.2762,0.0
28,1600,6,3,1,1,0,11.175,55.709,3.3386,-2.3386,0.0
28,2000,6,3,1,1,0,58.736,98.355,0.6492,0.3508,0.0
29,100,12,8,3,4,0,47.629,57.89,0.1768,0.8232,0.0
29,200,12,9,5,3,1,151.706,249.894,0.5907,0.4093,0.0
29,300,12,9,5,1,1,-1.953,61.615,5.2623,-4.2623,0.0
29,450,12,7,3,1,1,46.792,102.866,0.9785,0.0215,0.0
29,600,11,6,5,1,0,1.927,16.258,1.6774,-0.6774,0.0
29,800,9,4,3,1,0,6.809,20.774,1.0575,-0.0575,0.0
29,1200,7,1,0,0,0,33.229,33.959,0.0219,0.9781,0.0
29,1600,6,2,0,0,0,28.949,33.169,0.1458,0.8542,0.0
29,2000,4,2,0,0,0,16.242,16.718,0.0291,0.9709,0.0
30,100,12,9,3,5,0,6.469,57.005,3.5415,-2.5415,0.0
30,200,12,7,2,4,0,105.13,106.345,0.0104,0.9896,0.0
30,300,12,9,4,2,2,42.5,151.651,1.87,-0.87,0.00085
30,450,12,9,8,0,1,-3.926,22.029,2.211,-1.211,0.0
30,600,10,5,3,2,0,1.232,9.5,1.1949,-0.1949,0.0
30,800,10,7,4,2,0,-1.639,10.354,2.0013,-1.0013,0.0
30,1200,7,2,2,0,0,1.178,8.137,1.4988,-0.4988,0.0
30,1600,5,3,2,0,0,4.494,10.348,0.7475,0.2525,0.0
30,2000,4,1,0,0,0,20.055,20.983,0.0463,0.9537,0.0
31,100,12,6,3,3,0,6.28,52.301,3.4662,-2.4662,0.0
31,200,12,7,2,3,0,47.849,55.811,0.1292,0.8708,0.0
31,300,12,9,3,4,0,94.804,105.568,0.0955,0.9045,0.0
31,450,12,4,1,3,0,-6.266,-1.17,0.4788,0.5212,0.0
31,600,11,8,3,3,1,-6.458,47.745,3.7702,-2.7702,0.0
31,800,7,4,1,1,0,7.248,10.701,0.3397,0.6603,0.0
31,1200,4,0,0,0,0,16.508,16.508,0.0,1.0,0.0
31,1600,4,1,1,0,0,4.42,6.951,0.5728,0.4272,0.0
31,2000,4,1,1,0,0,70.217,71.879,0.0237,0.9763,0.0
32,100,12,8,3,5,0,96.775,110.784,0.1274,0.8726,0.0
32,200,12,10,4,2,1,49.217,161.768,1.8303,-0.8303,0.0
32,300,12,7,6,1,0,148.166,220.061,0.4382,0.5618,0.0
32,450,12,7,1,2,0,-5.922,51.929,3.9248,-2.9248,0.0
32,600,9,4,1,1,1,100.877,102.347,0.0134,0.9866,0.0
32,800,8,5,3,1,0,4.275,10.126,0.8478,0.1522,0.0
32,1200,4,2,1,0,0,4.02,5.063,0.2232,0.7768,0.0
32,1600,4,3,1,0,0,17.09,26.422,0.546,0.454,0.0
32,2000,3,1,0,1,0,26.83,28.808,0.0737,0.9263,0.0
33,100,12,5,2,2,0,52.438,108.865,0.9729,0.0271,0.0
33,200,11,5,2,1,0,4.098,14.568,1.2463,-0.2463,0.0
33,300,11,9,5,3,0,50.101,75.716,0.4355,0.5645,0.0
33,450,11,8,3,2,1,-1.713,11.919,1.3733,-0.3733,0.00415
33,600,9,3,2,1,0,11.374,20.415,0.6499,0.3501,0.0
33,800,8,5,2,1,1,1.385,9.104,1.4353,-0.4353,0.0
33,1200,5,2,0,0,0,5.351,8.29,0.3294,0.6706,0.0
33,1600,4,2,2,0,0,12.763,18.483,0.4482,0.5518,0.0
33,2000,4,4,2,1,0,2.922,9.041,1.6459,-0.6459,0.0
34,100,12,9,4,5,0,100.111,194.656,0.8445,0.1555,0.0
34,200,12,10,3,3,1,96.203,150.722,0.5292,0.4708,0.0
34,300,12,4,3,1,0,1.446,49.675,3.4049,-2.4049,0.0
34,450,11,8,4,2,1,-2.243,9.42,1.3355,-0.3355,0.0
34,600,9,5,3,1,0,52.848,62.407,0.1624,0.8376,0.0
34,800,9,5,2,0,0,64.966,69.482,0.0678,0.9322,0.0
34,1200,6,1,1,0,0,10.358,11.668,0.1264,0.8736,0.0
34,1600,3,2,2,0,0,15.325,20.676,0.3491,0.6509,0.0
34,2000,3,2,0,1,0,2.955,5.142,0.6149,0.3851,0.0
35,100,12,9,2,3,1,0.812,52.012,3.5041,-2.5041,0.0
35,200,12,5,3,1,0,11.443,23.529,0.739,0.261,0.0
35,300,12,7,3,2,0,103.544,153.649,0.4544,0.5456,0.0
35,450,11,5,4,1,0,102.197,162.726,0.5615,0.4385,0.0
35,600,10,5,2,0,0,52.857,108.109,0.9358,0.0642,0.0
35,800,8,2,2,0,0,8.825,60.062,4.8896,-3.8896,0.0
35,1200,7,2,2,0,0,11.367,58.564,3.7667,-2.7667,0.0
35,1600,5,2,0,1,0,15.466,16.343,0.0514,0.9486,0.0
35,2000,4,3,0,3,0,9.397,15.362,0.4735,0.5265,0.0
36,100,12,8,2,3,0,3.665,13.762,0.8183,0.1817,0.0
36,200,12,9,4,2,2,-2.931,153.192,26.6596,-25.6596,0.0
36,300,12,7,5,1,1,4.332,65.794,4.9848,-3.9848,0.0
36,450,12,6,3,1,1,1.016,62.216,4.7042,-3.7042,0.0
36,600,9,5,3,1,0,-2.74,59.548,4.4024,-3.4024,0.0
36,800,7,3,2,0,0,10.912,15.738,0.4312,0.5688,0.0
36,1200,6,2,1,0,0,5.36,7.787,0.3628,0.6372,0.0
36,1600,5,2,0,1,0,11.607,15.542,0.298,0.702,0.0
36,2000,4,0,0,0,0,21.619,21.619,0.0,1.0,0.0
37,100,12,8,1,5,1,-0.891,9.243,0.5419,0.4581,0.0
37,200,12,7,2,3,0,99.011,244.254,1.2834,-0.2834,0.0
37,300,12,9,4,3,1,149.815,302.777,0.9635,0.0365,0.0007
37,450,12,6,2,0,0,4.003,14.549,0.9325,0.0675,0.0
37,600,11,4,4,0,0,105.362,167.351,0.5419,0.4581,0.0
37,800,6,3,1,1,0,50.541,54.845,0.0761,0.9239,0.0
37,1200,5,2,1,0,0,2.613,10.789,1.2503,-0.2503,0.0
37,1600,4,3,0,1,0,7.293,9.101,0.229,0.771,0.0
37,2000,4,1,1,0,0,12.573,13.062,0.0372,0.9628,0.0
38,100,12,11,2,6,0,5.17,24.891,1.0966,-0.0966,0.0
38,200,12,7,4,3,0,14.168,122.635,6.879,-5.879,0.0
38,300,12,8,6,1,0,55.583,166.978,1.6207,-0.6207,0.0
38,450,11,5,4,1,0,6.928,118.708,9.069,-8.069,0.0
38,600,11,7,2,1,2,49.719,98.454,0.8253,0.1747,0.0
38,800,8,2,1,0,0,5.018,8.918,0.6782,0.3218,0.0
38,1200,7,1,1,0,0,1.47,5.437,0.9937,0.0063,0.0
38,1600,5,2,2,0,0,3.646,7.912,0.9046,0.0954,0.0
38,2000,5,2,1,0,0,12.135,19.005,0.5661,0.4339,0.0
39,100,12,8,3,5,0,54.17,101.502,0.711,0.289,0.0
39,200,12,8,4,1,0,151.066,200.015,0.305,0.695,0.0
39,300,12,7,4,1,0,98.02,200.892,0.9508,0.0492,0.0
39,450,12,7,5,2,1,92.983,158.011,0.566,0.434,0.0
39,600,10,6,2,1,0,45.972,50.453,0.0792,0.9208,0.0
39,800,9,6,1,1,0,4.341,5.475,0.1323,0.8677,0.0
39,1200,8,5,0,2,0,22.062,36.877,0.5865,0.4135,0.0
39,1600,6,3,0,1,0,38.092,43.35,0.1359,0.8641,0.0
39,2000,6,4,4,0,0,8.504,20.232,1.2971,-0.2971,0.0
40,100,12,9,2,6,0,97.736,105.501,0.0685,0.9315,0.0
40,200,12,6,1,2,0,7.97,54.465,2.3832,-1.3832,0.0
40,300,12,6,3,0,1,105.725,155.21,0.4419,0.5581,0.0
40,450,12,4,4,0,0,50.791,61.381,0.1803,0.8197,0.0
40,600,10,5,3,2,1,55.43,153.217,1.6459,-0.6459,0.0
40,800,8,2,1,0,0,50.604,50.744,0.0025,0.9975,0.0
40,1200,5,1,0,0,0,18.168,19.651,0.0816,0.9184,0.0
40,1600,4,0,0,0,0,18.962,18.962,0.0,1.0,0.0
40,2000,3,2,1,0,0,8.187,11.227,0.2934,0.7066,0.0
41,100,12,9,3,3,0,97.414,113.173,0.1464,0.8536,0.0
41,200,12,9,6,1,0,97.465,199.099,0.895,0.105,0.0
41,300,12,6,4,2,0,99.169,112.748,0.1269,0.8731,0.0
41,450,12,11,7,1,1,-19.475,97.846,6.0242,-5.0242,0.0
41,600,10,4,4,0,0,-7.241,-1.193,0.7637,0.2363,0.0
41,800,8,4,2,0,0,110.579,167.009,0.4851,0.5149,0.0
41,1200,4,0,0,0,0,5.866,5.866,0.0,1.0,0.0
41,1600,3,0,0,0,0,4.312,4.312,0.0,1.0,0.0
41,2000,3,0,0,0,0,54.93,54.93,0.0,1.0,0.0
42,100,12,12,4,6,0,98.825,151.781,0.4861,0.5139,0.0
42,200,12,10,6,2,1,102.449,128.615,0.2288,0.7712,0.0
42,300,12,7,4,1,0,52.624,172.206,1.8739,-0.8739,0.0
42,450,12,5,2,2,0,200.326,286.177,0.421,0.579,0.0
42,600,10,8,4,1,0,-2.892,54.266,4.488,-3.488,0.0
42,800,8,1,0,0,0,104.353,104.775,0.004,0.996,0.0
42,1200,5,0,0,0,0,19.11,19.11,0.0,1.0,0.0
42,1600,3,1,0,1,0,18.081,23.999,0.3273,0.6727,0.0
42,2000,3,2,1,0,0,4.866,10.006,1.0077,-0.0077,0.0
