n_requested,n_actual,grid,cells_per_robot,seed,steps_run,survivors,final_cov,final_found,found_frac,deaths,hazard_deaths,battery_deaths,peak_relays,t_first_found,t_half_found,t_all_found,completed,wall_s,step_mean_ms,step_p50_ms,step_p90_ms,step_max_ms,ground_mean_ms,ground_p90_ms,astar_sum_mean_ms,astar_max_mean_ms,astar_max_p90_ms,dist_mean_ms,dist_p90_ms,role_ms,alloc_ms,relay_cover_ms,explorer_move_ms,relay_move_ms,astar_explorer_ms,astar_relay_ms,other_ms,step_ms_per_robot,ground_ms_per_robot,role_ms_per_robot,alloc_ms_per_robot,relay_cover_ms_per_robot,explorer_move_ms_per_robot,relay_move_ms_per_robot
40,40,180,810.0,77,1500,36,99.57,31,0.861,17,0,17,6,1,196,-1,0,205.3,136.877,67.1,348.065,743.294,55.957,91.836,80.92,9.506,25.842,65.462,98.898,6.089,4.712,0.304,98.37,0.557,80.797,0.122,26.845,3.4219,1.3989,0.1522,0.1178,0.0076,2.4593,0.0139
40,40,180,810.0,78,451,36,92.91,36,1.0,1,0,1,6,1,81,451,1,56.7,125.729,97.932,270.152,442.303,95.604,201.075,30.125,10.714,26.421,106.317,214.642,7.984,22.581,0.738,46.421,1.221,29.814,0.311,46.784,3.1432,2.3901,0.1996,0.5645,0.0184,1.1605,0.0305
40,40,180,810.0,79,890,36,99.16,36,1.0,16,0,16,7,1,65,890,1,101.8,114.335,94.014,223.868,496.405,72.627,120.503,41.708,12.658,25.807,85.286,144.752,5.989,14.224,0.617,54.304,1.628,41.391,0.317,37.574,2.8584,1.8157,0.1497,0.3556,0.0154,1.3576,0.0407
40,40,180,810.0,80,1500,36,99.98,35,0.972,13,0,13,7,4,125,-1,0,96.2,64.152,39.317,119.397,545.631,51.133,91.34,13.019,4.099,23.963,55.232,98.257,3.748,6.772,0.392,31.664,0.73,12.873,0.146,20.845,1.6038,1.2783,0.0937,0.1693,0.0098,0.7916,0.0183
50,50,200,800.0,61,1500,45,99.43,41,0.911,17,0,17,7,3,57,-1,0,160.5,107.019,70.826,222.191,647.979,69.119,130.398,37.899,9.593,30.017,78.712,152.952,7.898,6.075,0.224,52.489,12.377,27.086,10.813,27.956,2.1404,1.3824,0.158,0.1215,0.0045,1.0498,0.2475
50,50,200,800.0,62,1156,45,100.0,45,1.0,18,0,18,6,1,94,1156,1,116.5,100.73,75.202,189.048,634.814,75.981,132.452,24.749,7.454,31.378,83.434,143.997,4.914,8.97,0.696,47.615,1.177,24.353,0.396,37.358,2.0146,1.5196,0.0983,0.1794,0.0139,0.9523,0.0235
50,50,200,800.0,63,498,45,96.56,45,1.0,5,0,5,6,10,60,498,1,102.9,206.583,132.959,450.139,858.926,113.313,209.074,93.27,15.531,32.812,128.844,229.449,9.961,19.537,0.755,111.387,1.821,92.843,0.427,63.121,4.1317,2.2663,0.1992,0.3907,0.0151,2.2277,0.0364
50,50,200,800.0,64,617,45,99.99,45,1.0,10,0,10,6,1,113,617,1,101.4,164.256,135.157,330.463,874.499,96.475,159.365,67.781,18.012,32.401,114.487,190.788,6.337,15.08,0.82,84.416,1.308,67.53,0.251,56.295,3.2851,1.9295,0.1267,0.3016,0.0164,1.6883,0.0262
50,50,200,800.0,65,506,45,97.23,45,1.0,6,0,6,7,19,74,506,1,114.5,226.226,190.169,396.366,675.535,115.813,203.656,110.413,22.22,32.818,138.033,228.9,5.925,18.947,0.616,136.864,2.29,110.185,0.228,61.583,4.5245,2.3163,0.1185,0.3789,0.0123,2.7373,0.0458
50,50,200,800.0,66,307,45,90.22,45,1.0,0,0,0,7,1,92,307,1,48.1,156.753,128.64,321.252,521.474,122.521,259.057,34.233,10.9,30.941,133.421,270.679,9.327,24.081,1.049,55.349,3.303,33.676,0.557,63.644,3.1351,2.4504,0.1865,0.4816,0.021,1.107,0.0661
